article_id,group_name,mention_instances,sentence_mentions,active_voice_mentions,passive_voice_mentions,quote_count,quoted_mentions,dehumanizing_count,criminalizing_count,collectivizing_count,erasure_of_civilian_status_count,incitement_displacement_count,incitement_destruction_count,discrediting_journalists_count,censorship_repression_count,victimizing_count,humanizing_count,active_voice_rate,passive_voice_rate,quoted_context_rate,dehumanization_score
2023_10_18_die-vereinten-beobachter,israelis,8,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0.125,0.0,2.5
2023_10_18_die-vereinten-beobachter,palestinians,5,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.2,0.0,0.0,2.5
2023_10_18_die-wahrheit-wird-vielleicht-niemals-aufgedeckt,general_journalists,3,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.3333,0.0
2023_10_18_die-wahrheit-wird-vielleicht-niemals-aufgedeckt,israelis,9,9,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0.4444,0.1111,0.2222,0.5
2023_10_18_die-wahrheit-wird-vielleicht-niemals-aufgedeckt,palestinians,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.0,0.0,-2.0
2023_10_18_dimension-des-schreckens,israelis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2023_10_18_dimension-des-schreckens,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_ferne-freunde-der-hamas,general_journalists,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.5
2023_10_18_ferne-freunde-der-hamas,israelis,13,12,10,1,0,2,0,0,1,0,0,0,0,0,0,0,0.7692,0.0769,0.1538,2.5
2023_10_18_ferne-freunde-der-hamas,palestinians,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0.25,0.0,2.5
2023_10_18_gezielter-anschlag-im-herzen-europas,general_journalists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-1.0
2023_10_18_gezielter-anschlag-im-herzen-europas,palestinians,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0,0.0
2023_10_18_m-nchner-imame-warnen-vor-eskalation-in-der-stadt,israelis,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0
2023_10_18_m-nchner-imame-warnen-vor-eskalation-in-der-stadt,palestinians,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_nachrichten-am-18-oktober-2023,israelis,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.0,0.0
2023_10_18_nachrichten-am-18-oktober-2023,palestinians,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,1.0,0.0,1.0,-2.0
2023_10_18_ohne-worte,general_journalists,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
2023_10_18_ohne-worte,israelis,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_18_ohne-worte,palestinians,5,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.4,0.0
2023_10_18_raketeneinschlag-bei-klinik-in-gaza-eine-katastrophe-f-r-die-diplomatie,israelis,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0
2023_10_18_raketeneinschlag-bei-klinik-in-gaza-eine-katastrophe-f-r-die-diplomatie,palestinians,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0.6667,0.0,0.3333,2.0
2023_10_18_raus-raus-raus,general_journalists,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0.0,0.0
2023_10_18_raus-raus-raus,israelis,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3333,0.0,0.0,-2.0
2023_10_18_raus-raus-raus,palestinians,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0
2023_10_18_reise-mit-risiken,israelis,19,19,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0.4737,0.0,0.1579,0.0
2023_10_18_reise-mit-risiken,palestinians,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.0,0.0
2023_10_18_scholz-bekundet-solidarit-t-mit-israel,general_journalists,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_scholz-bekundet-solidarit-t-mit-israel,israelis,15,15,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0.1333,0.0
2023_10_18_scholz-bekundet-solidarit-t-mit-israel,palestinians,9,9,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.2222,0.0
2023_10_18_sie-lauern-in-der-metro,israelis,18,18,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0.5556,0.0556,0.3333,0.5
2023_10_18_sie-lauern-in-der-metro,palestinians,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0
2023_10_18_slavoj-i-ek-und-das-analyseverbot,israelis,8,8,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.25,0.0
